Name,Tc (K),Pc (atm),omega,Vc (cm^3/mol)
argon,150.8,48.06316308906978,0.001,74.9
bromine,588.,101.65309647174922,0.108,127.2
chlorine,416.9,78.75647668393775,0.090,123.8
fluorine,144.3,51.51739452257582,0.054,66.3
helium-4,5.19,2.2403158154453466,-0.36,57.4
hydrogen,33.0,12.731310140636554,-0.21,64.3
iodine,819.,114.97656057241537,0.229,155
krypton,209.4,54.28077966938066,0.005,91.2
neon,44.4,27.239082161361928,-0.02,41.6
nitrogen,126.2,33.4566987416728,0.039,89.8
oxygen,154.6,49.740932642487,0.025,73.4
xenon,289.7,57.63631877621509,0.008,118.4
acetylene,308.3,60.59708857636313,0.190,112.7
benzene,562.1,48.26054774241298,0.212,259.
n-butane,425.2,37.503084135208454,0.199,255.
1-butene,419.6,39.67431532198368,0.191,240.
cyclobutane,460.0,49.247471009128994,0.181,210.
cyclohexane,553.8,40.16777695534169,0.212,308.
cyclopropane,397.8,54.18208734270905,0.130,163.
ethane,305.4,48.16185541574138,0.099,148.3
ethylene,282.4,49.740932642487,0.089,130.4
n-heptane,540.3,27.04169750801872,0.349,432.
n-hexane,507.5,29.706390328151958,0.299,370.
isobutane,408.2,36.02269923513443,0.183,263.
isobutylene,417.9,39.47693066864048,0.194,239.
isopentane,460.4,33.4566987416728,0.227,306.
methane,190.4,45.39847026893654,0.011,99.2
naphthalene,748.4,39.97039230199848,0.302,413.
n-octane,568.8,24.574389341228695,0.398,492.
n-pentane,469.7,33.2593140883296,0.251,304.
propadiene,393.,53.98470268936585,0.313,162.
propane,369.8,41.944238835430504,0.153,203.
propylene,364.9,45.39847026893654,0.144,181.
toluene,591.8,40.46385393535648,0.263,316.
m-xylene,617.1,34.937083641746824,0.325,376.
o-xylene,630.3,36.81223784850724,0.310,369.
p-xylene,616.2,34.641006661732014,0.320,379.
ammonia,405.5,112.01579077226735,0.250,72.5
carbon-dioxide,304.1,72.83493708364168,0.239,93.9
carbon-disulfide,552.,77.96693807056494,0.109,160.
carbon-monoxide,132.9,34.54231433506041,0.066,93.2
carbon-tetrachloride,556.4,45.003700962250136,0.193,275.9
carbon-tetrafluoride,227.6,36.91093017517885,0.177,139.6
chloroform,536.4,52.997779422649835,0.218,238.9
hydrazine,653.,145.07772020725375,0.316,96.1
hydrogen-chloride,324.7,82.01332346410058,0.133,80.9
hydrogen-fluoride,461.,63.95262768319757,0.329,69.2
hydrogen-sulfide,373.2,88.23094004441147,0.081,98.6
nitric-oxide,180.,63.95262768319757,0.588,57.7
nitrous-oxide,309.6,71.45324451023926,0.165,97.4
sulfur-dioxide,430.8,77.76955341722174,0.256,122.2
sulfur-trioxide,491.0,81.02640019738458,0.481,127.3
water,647.3,218.3074265975818,0.344,57.1
acetaldehyde,461.,54.97162595608186,0.303,154.
acetic-acid,592.7,57.14285714285709,0.447,171.
acetone,508.1,46.38539353565256,0.304,209.
acetonitrile,545.5,47.668393782383376,0.278,173.
aniline,699.,52.40562546262022,0.384,274.
n-butanol,563.1,43.622008388847725,0.593,275.
chlorobenzene,632.4,44.60893165556373,0.249,308.
dichlorodifluoromethane,385.0,40.85862324204289,0.204,216.7
freon-12,385.0,40.85862324204289,0.204,216.7
diethyl-ether,466.7,35.92400690846283,0.281,280.
dimethyl-ether,400.0,51.71477917591902,0.200,178.
ethanol,513.9,60.59708857636313,0.644,167.1
ethyleneoxide,469.,70.95978287688126,0.202,140.
isobutanol,547.8,42.43770046878851,0.592,273.
isopropyl-alcohol,508.3,46.97754749568217,0.665,220.
methanol,512.6,79.84209227732536,0.556,118.0
methyl-chloride,416.3,66.12385886997279,0.153,138.9
methyl-ethyl-ketone,536.8,41.5494695287441,0.320,267.
phenol,694.2,60.49839624969153,0.438,229.
1-propanol,536.8,51.02393288921781,0.623,219.
pyridine,620.0,55.563779916111464,0.243,254.
trichlorotrifluoroethane,487.3,33.654083395016,0.256,325.5
freon-113,487.3,33.654083395016,0.256,325.5
trichlorofluoromethane,471.2,43.52331606217613,0.189,247.8
freon-11,471.2,43.52331606217613,0.189,247.8
trimethylamine,433.3,40.365161608684886,0.205,254.
"methane",190.57777777777775,45.441094612227836,0.0072,np.nan
"ethane",305.4222222222222,48.162933163424476,0.0908,np.nan
"propane",369.8222222222222,41.93672747756218,0.1454,np.nan
"n-butane",425.17777777777775,37.47291225359969,0.1928,np.nan
"2-methylpropane",408.1388888888889,36.00311943595351,0.1756,np.nan
"n-pentane",469.65,33.24725790286691,0.2510,np.nan
"2-methylbutane",460.4277777777778,33.36974063767076,0.2273,np.nan
"2,2-dimethylpropane",433.77777777777777,31.57332719388098,0.1970,np.nan
"n-hexane",507.42777777777775,29.729281575445256,0.2957,np.nan
"2-methylpentane",497.5,29.708867786311288,0.2791,np.nan
"3-methylpentane",504.4277777777778,30.8316261886799,0.2750,np.nan
"2,2-dimethylbutane",488.77777777777777,30.40293661686643,0.2310,np.nan
"2,3-dimethylbutane",499.97777777777776,30.858844574191863,0.2473,np.nan
"n-heptane",540.2611111111111,27.00063842787063,0.3506,np.nan
"2-methylhexane",530.3722222222223,26.980224638736658,0.3298,np.nan
"3-methylhexane",535.25,27.76955781858368,0.3240,np.nan
"3-ethylpentane",540.6388888888889,28.53167261291874,0.3101,np.nan
"2,2-dimethylpentane",520.5,27.368086632282175,0.2886,np.nan
"2,3-dimethylpentane",537.3499999999999,28.70178752236853,0.2986,np.nan
"2,4-dimethylpentane",519.7888888888889,27.007443024248623,0.3059,np.nan
"3,3-dimethylpentane",536.4,29.06923572678008,0.2697,np.nan
"2,2,3-trimethylbutane",531.1722222222222,29.15089088331597,0.2510,np.nan
"n-octane",568.8277777777778,24.53737453903768,0.3942,np.nan
"2-methylheptane",559.6388888888889,24.516960749903703,0.3776,np.nan
"3-methylheptane",563.6722222222222,25.129374423922947,0.3694,np.nan
"4-methylheptane",561.7388888888888,25.088546845654992,0.3687,np.nan
"3-ethylhexane",565.4888888888888,25.74178809794219,0.3605,np.nan
"2,2-dimethylhexane",549.8722222222223,24.959259514473153,0.3376,np.nan
"2,3-dimethylhexane",563.4888888888888,25.93912139290394,0.3463,np.nan
"2,4-dimethylhexane",553.5222222222221,25.23144336959282,0.3430,np.nan
"2,5-dimethylhexane",550.0611111111111,24.53737453903768,0.3519,np.nan
"3,3-dimethylhexane",562.0222222222222,26.19089145888963,0.3206,np.nan
"3,4-dimethylhexane",568.8499999999999,26.57194885605716,0.3384,np.nan
"2-methyl-3-ethylpentane",567.088888888889,26.646799416215067,0.3298,np.nan
"3-methyl-3-ethylpentane",576.5777777777778,27.70831645118176,0.3037,np.nan
"2,2,3-trimethylpentane",563.5,26.939397060468703,0.2975,np.nan
"2,2,4-trimethylpentane",543.9611111111111,25.34031691164068,0.3033,np.nan
"2,3,3-trimethylpentane",573.5611111111111,27.8307991859856,0.2901,np.nan
"2,3,4-trimethylpentane",566.411111111111,26.939397060468703,0.3165,np.nan
"n-nonane",594.6388888888889,22.59125997493208,0.4437,np.nan
"2,2,3-trimethylhexane",588.0388888888888,24.63263888832956,0.3321,np.nan
"2,2,4-trimethylhexane",573.65,23.475857504070987,0.3211,np.nan
"2,2,5-trimethylhexane",568.0388888888888,22.99953575761157,0.3571,np.nan
"3,3-diethylpentane",610.0388888888889,26.401833946607372,0.3379,np.nan
"2,2,3,3-tetramethylpentane",610.8722222222223,27.014247620626612,0.2793,np.nan
"2,2,3,4-tetramethylpentane",592.1500000000001,25.313098526128712,0.3108,np.nan
"2,2,4,4-tetramethylpentane",571.3722222222223,23.271719612731236,0.3150,np.nan
"2,3,3,4-tetramethylpentane",609.0388888888889,26.605971837947113,0.2994,np.nan
"n-decane",617.65,20.685972989094438,0.4902,np.nan
"n-undecane",638.7277777777778,19.393099677276034,0.5349,np.nan
"n-dodecane",658.2611111111112,17.964134437897798,0.5622,np.nan
"n-tridecane",675.7611111111112,17.011490944978974,0.6231,np.nan
"n-tetradecane",691.8722222222223,15.990801488280237,0.6797,np.nan
"n-pentadecane",706.7611111111112,14.970112031581497,0.7060,np.nan
"n-hexadecane",720.5388888888888,14.017468538662676,0.7418,np.nan
"n-heptadecane",733.3722222222223,12.996779081963938,0.7699,np.nan
"n-octadecane",745.2611111111111,11.9760896252652,0.7895,np.nan
"n-nonadecane",755.9277777777777,11.023446132346374,0.8271,np.nan
"n-eicosane",767.0388888888889,11.023446132346374,0.9065,np.nan
"cyclopropane",397.8111111111111,54.23263313259297,0.2645,np.nan
"cyclobutane",459.92777777777775,49.19723181287921,0.2089,np.nan
"cyclopentane",511.76111111111106,44.48845111930901,0.1923,np.nan
"methylcyclopentane",532.7888888888889,37.35042951879584,0.2395,np.nan
"ethylcyclopentane",569.5222222222222,33.533050950742556,0.2826,np.nan
"1,1-dimethylcyclopentane",547.0388888888889,34.02298188995795,0.2727,np.nan
"cis-1,2-dimethylcyciopentane",564.8166666666666,34.02298188995795,0.2692,np.nan
"trans-1,2-dimethylcyclopentane",553.15,34.02298188995795,0.2692,np.nan
"cis-1,3-dimethylcyclopentane",550.9277777777777,34.97562538287678,0.2975,np.nan
"trans-1,3-dimethylcyclopentane",553.15,34.02298188995795,0.2584,np.nan
"n-propylcyclopentane",603.15,29.599994244263417,0.3350,np.nan
"isopropylcyclopentane",600.9277777777777,29.599994244263417,0.2400,np.nan
"1-methyl-1-ethylcyclopentane",592.0388888888889,29.497925298593543,0.2503,np.nan
"methyl-cis-2-ethylcyclopentane",595.9277777777777,29.497925298593543,0.2940,np.nan
"1,1,2-trimethylcyclopentane",579.5388888888889,29.001189763000156,0.2516,np.nan
"1,1,3-trimethylcyclopentane",569.5388888888889,27.89884514976552,0.2106,np.nan
"cis,cis,trans-1,2,4-trimethylcyclopentane",579.2611111111112,28.402385281736898,0.2771,np.nan
"cis,trans,cis-1,2,4-trimethylcyclopentane",570.9277777777777,27.749144029449706,0.2459,np.nan
"n-hexylcyclopentane",660.1500000000001,21.09424877177393,0.4764,np.nan
"n-heptylcyclopentane",678.9277777777777,19.2570077497162,0.5146,np.nan
"n-octylcyclopentane",694.4277777777777,17.691950582778134,0.5639,np.nan
"n-nonylcyclopentane",710.5388888888888,16.331031307179817,0.6101,np.nan
"n-decylcyclopentane",723.7611111111112,15.038157995361416,0.6538,np.nan
"n-undecylcyclopentane",738.3722222222223,13.881376611102844,0.6740,np.nan
"n-dodecylcyclopentane",749.8722222222223,12.79264119062419,0.7193,np.nan
"n-tridecylcyclopentane",761.3722222222223,11.908043661485284,0.7546,np.nan
"n-tetradecylcyclopentane",772.3722222222223,11.15953805990621,0.7893,np.nan
"n-pentadecylcyclopentane",780.3722222222223,10.13884860320747,0.8333,np.nan
"n-hexadecylcyclopentane",790.65,9.594480892968143,0.8607,np.nan
"cyclohexane",553.5388888888889,40.2151645939303,0.2144,np.nan
"methylcyclohexane",572.1888888888889,34.26114276318766,0.2333,np.nan
"ethylcyclohexane",609.2611111111112,29.940224063162994,0.2426,np.nan
"1,1-dimethylcyclohexane",590.9277777777777,29.25976442536384,0.2376,np.nan
"cis-1,2-dimethylcyclohexane",605.9277777777777,29.25976442536384,0.2363,np.nan
"trans-1,2-dimethylcyclohexane",595.9277777777777,29.25976442536384,0.2416,np.nan
"cis-1,3-dimethylcyclohexane",590.9277777777777,29.25976442536384,0.2237,np.nan
"trans-1,3-dimethylcyclohexane",598.15,29.25976442536384,0.1886,np.nan
"cis-1,4-dimethylcyciohexane",598.15,29.25976442536384,0.2338,np.nan
"trans-1,4-dimethylcyclohexane",589.8166666666666,29.25976442536384,0.2419,np.nan
"n-propylcyclohexane",639.2611111111112,27.701511854803762,0.2577,np.nan
"isopropylcyclohexane",639.8166666666666,28.000914095435398,0.2370,np.nan
"1,1,3-trimethylcyclohexane",612.0388888888889,26.599167241569123,0.1810,np.nan
"n-butylcyclohexane",667.0388888888889,31.097005447421566,0.3618,np.nan
"isobutylcyclohexane",658.7055555555555,30.79760320678994,0.3189,np.nan
"sec-butylcyclohexane",668.7055555555555,26.401833946607372,0.2643,np.nan
"tert-butylcyclohexane",659.2611111111112,26.347397175583442,0.2520,np.nan
"n-decylcyclohexane",750.3722222222223,13.405054864643432,0.5825,np.nan
"cycloheptane",589.2611111111112,36.74482044115459,0.3359,np.nan
"cyclooctane",618.15,34.02298188995795,0.4412,np.nan
"ethene",282.3611111111111,49.65994436658262,0.0856,np.nan
"ethylene",282.3611111111111,49.65994436658262,0.0856,np.nan
"propene",364.76111111111106,45.52274976876374,0.1477,np.nan
"1-butene",419.59444444444443,39.670796883690976,0.1874,np.nan
"cis-2-butene",435.5777777777778,41.5080379057487,0.2044,np.nan
"trans-2-butene",428.62777777777774,40.48734844904996,0.2138,np.nan
"2-methylpropene",417.9,39.46665899235123,0.1898,np.nan
"isobutylene",417.9,39.46665899235123,0.1898,np.nan
"1-pentene",464.77777777777777,40.14711863015038,0.2450,np.nan
"cis-2-pentene",475.9277777777778,36.064360803355434,0.2403,np.nan
"trans-2-pentene",475.3722222222222,36.064360803355434,0.2372,np.nan
"2-methyl-1-butene",465.3722222222222,34.02298188995795,0.2321,np.nan
"3-methyl-1-butene",450.3722222222222,34.703441527757114,0.2285,np.nan
"2-methyl-2-butene",470.3722222222222,34.02298188995795,0.2837,np.nan
"1-hexene",504.0277777777777,31.30114333876131,0.2848,np.nan
"cis-2-hexene",517.5944444444444,32.39668335561796,0.2555,np.nan
"trans-2-hexene",516.4833333333333,32.26059142805813,0.2421,np.nan
"cis-3-hexene",517.0388888888889,32.39668335561796,0.2254,np.nan
"trans-3-hexene",519.8722222222223,32.117694904120306,0.2273,np.nan
"2-methyl-2-pentene",517.5944444444444,32.39668335561796,0.2294,np.nan
"3-methyl-cis-2-pentene",517.5944444444444,32.39668335561796,0.2694,np.nan
"3-methyl-trans-2-pentene",521.4833333333333,32.49875230128784,0.2072,np.nan
"2,3-dimethyl-1-butene",500.9277777777778,32.00201676569445,0.2215,np.nan
"3,3-dimethyl-1-butene",490.3722222222222,31.097005447421566,0.1207,np.nan
"2,3-dimethyl-2-butene",524.2611111111111,33.199625728220965,0.2389,np.nan
"1-heptene",533.2888888888889,27.89884514976552,0.3580,np.nan
"4,4-dimethyl-1-pentene",526.4833333333333,28.198247390397153,0.1715,np.nan
"2,3,3-trimethyl-1-butene",532.5944444444444,28.59971857669866,0.1919,np.nan
"1-octene",566.65,25.85746623636804,0.3858,np.nan
"trans-2-octene",580.3722222222223,27.30004066850226,0.3500,np.nan
"1-nonene",592.0388888888889,23.135627685171404,0.4299,np.nan
"1-decene",614.8166666666666,21.774708409573087,0.4912,np.nan
"1-undecene",637.0388888888889,19.665283532395698,0.5180,np.nan
"1-dodecene",657.0388888888889,18.304364256797378,0.5575,np.nan
"1-tridecene",674.2611111111112,16.80735305363923,0.5981,np.nan
"1-tetradecene",689.2611111111112,15.44643377804091,0.6441,np.nan
"1-pentadecene",704.2611111111112,14.357698357562258,0.6822,np.nan
"1-hexadecene",717.0388888888889,13.200916973303686,0.7213,np.nan
"1-octadecene",739.2611111111112,11.29562998746604,0.8066,np.nan
"propadiene",393.15,53.960449277473316,0.3125,np.nan
"1,2-butadiene",443.7055555555555,44.43401434828509,0.3394,np.nan
"1,3-butadiene",425.3722222222222,42.73286525378719,0.1814,np.nan
"1,2-pentadiene",503.15,40.20155540117432,0.1725,np.nan
"1-cis-3-pentadiene",498.7055555555555,39.60275091991106,0.1834,np.nan
"1-trans-3-pentadiene",496.48333333333335,39.39861302857131,0.1754,np.nan
"1,4-pentadiene",477.59444444444443,37.39806169344178,0.1038,np.nan
"2-methyl-1,3-butadiene",484.26111111111106,37.99686617470504,0.1642,np.nan
"3-methyl-1,2-butadiene",496.48333333333335,39.39861302857131,0.1595,np.nan
"ethyne",308.3222222222222,60.58812614963711,0.1841,np.nan
"acetylene",308.3222222222222,60.58812614963711,0.1841,np.nan
"propyne",402.38888888888886,55.53911563716736,0.2176,np.nan
"1-butyne",463.7055555555555,46.50261164719452,0.0501,np.nan
"benzene",562.161111111111,48.33985266925225,0.2100,np.nan
"methylbenzene",591.7888888888888,40.54858981645189,0.2566,np.nan
"toluene",591.7888888888888,40.54858981645189,0.2566,np.nan
"ethylbenzene",617.1722222222222,35.62206203878598,0.3011,np.nan
"1,2-dimethylbenzene",630.3722222222223,36.84008479044647,0.3136,np.nan
"o-xylene",630.3722222222223,36.84008479044647,0.3136,np.nan
"1,3-dimethylbenzene",617.05,34.94840699736481,0.3311,np.nan
"m-xylene",617.05,34.94840699736481,0.3311,np.nan
"1,4-dimethylbenzene",616.2611111111112,34.64900475673318,0.3243,np.nan
"p-xylene",616.2611111111112,34.64900475673318,0.3243,np.nan
"n-propylbenzene",638.3777777777777,31.580131790258974,0.3444,np.nan
"isopropylbenzene",631.15,31.668591543172866,0.3353,np.nan
"1-methyl-2-ethylbenzene",650.9277777777777,30.001465430564917,0.2937,np.nan
"1-methyl-3-ethylbenzene",637.0388888888889,28.000914095435398,0.3598,np.nan
"1-methyl-4-ethylbenzene",640.3722222222223,29.001189763000156,0.3219,np.nan
"1,2,3-trimethylbenzene",664.5277777777778,34.09102785373787,0.3934,np.nan
"1,2,4-trimethylbenzene",649.1277777777777,31.89994782002458,0.3964,np.nan
"1,3,5-trimethvlbenzene",637.3611111111111,30.858844574191863,0.3980,np.nan
"n-butylbenzene",660.5388888888888,28.49084503465079,0.3923,np.nan
"isobutylbenzene",650.3722222222223,29.940224063162994,0.3782,np.nan
"sec-butylbenzene",664.5388888888889,29.12367249780401,0.2736,np.nan
"tert-butylbenzene",659.8166666666666,29.25976442536384,0.2647,np.nan
"1-methyl-2-isopropylbenzene",669.8166666666666,28.579304787564684,0.2769,np.nan
"1-methyl-3-isopropylbenzene",666.2055555555555,29.001189763000156,0.2792,np.nan
"1-methyl-4-isopropylbenzene",653.15,27.89884514976552,0.3714,np.nan
"1,4-diethylbenzene",657.9611111111111,27.660684276535815,0.4031,np.nan
"1,2,4,5-tetramethylbenzene",675.3722222222223,29.25976442536384,0.4255,np.nan
"biphenyl",789.2611111111111,37.969647789193075,0.3643,np.nan
"diphenylmethane",767.5388888888889,29.430559794451426,0.4710,np.nan
"vinylbenzene",647.5944444444444,39.46665899235123,0.2572,np.nan
"1-methyl-2-ethenylbenzene",679.2611111111112,35.99631483957551,0.3755,np.nan
"1-methyl-3-ethenylbenzene",674.8166666666666,35.11171731043661,0.3415,np.nan
"1-methyl-4-ethenylbenzene",675.9277777777777,34.97562538287678,0.3128,np.nan
"naphthalene",748.4277777777777,39.977003720700594,0.3024,np.nan
"1-methylnaphthalene",772.0388888888889,35.22059085248447,0.3337,np.nan
"2-methylnaphthalene",760.9277777777777,34.57415419657527,0.3815,np.nan
"1,2,3,4-tetrahydronaphthalene",719.2611111111112,34.68983233500113,0.3028,np.nan
"cis-decahydronaphthalene",705.2611111111111,31.097005447421566,0.2321,np.nan
"trans-decahydronaphthalene",686.9277777777777,31.097005447421566,0.2738,np.nan